name,ssn,birthday,phone,email,address,driver license,credit card
 ,,,,@,3,[],43432432432432432
Reynir,4545454,re,,@,,[],3423432423432432
Reynir,23121,re,,@,,[],3423432423432432
Reynir,23121,re,,@,,[],3423432423432432
Tommi,1929395599,12.05.2020,4566544,tom@email.com,ReenyStreet,a,4556564545671234
Tommi,1929395539,12.05.2020,4566544,tom@email.com,ReenyStreet,a,4556564545671234
Reynir Freyr Hauksson,2311992929,,8935349,reynirfreyr9@gmail.com,Nopeeee,[],3423432423432432
Reynirrrrr,382943829482,1999-11-23,895359,@gmail.com,rerererere,b,3333222211110000
Viddz,23193219,,8935349,rere@gmail.com,eeerieare,b,4444333322222222
Reynirr,3429043920,,8935349,rey.@gmail.com,teatea,b,4444444444444444
