id,ssn,starting date,ending date,pick up time,returning time,pick up location,return location,number plate,insurance,type of vehicle
1,0000000000,20181212,20181214,12:00,12:00,akureyri,akureyri,WOW00,yes,offroad
2,1107983699,20181212,20181214,12:00,12:00,akureyri,akureyri,VIP00,yes,sedan
10,0608001234,20181224,20181226,9:00,9:00,ak,ak,XXL13,yes,bus
34290,94302904023,20191010,20191020,2:20,20:20,ak,ak,aaa00,yes,smallcar
432,43243200,20191010,20191020,2:20,2:20,ak,ak,lol00,yes,smallcar
34920,1432843290,20191010,20191020,20:20,20:20,ak,ak,fok23,yes,smallcar
4032,4302943290,20191010,20191020,20:20,20:20,ak,ak,fok23,yes,smallcar
04,4030430430,20191010,20191020,20:20,2:20,ak,ak,ttt11,yes,sedan
49302,4932043290,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
9432090,4329049023,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
30,3092490320,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
43920,4932090432,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
48329,43929843289,20191010,20191020,20:20,20:20,ak,ak,vip01,yes,offroad
90423,49032940320,20191010,20911020,20:20,20:20,ak,ak,abc,yes,smallcar
94032,940329043290,20191010,20191020,2:20,20:20,ak,ak,abc,yes,smallcar
4392,49324329,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
4329,84328948392,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
32490,493204930209,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
49320432,94094320,20191010,20911020,20:20,20:20,ak,ak,abc,yes,smallcar
439204,493290432,20191010,20191020,20:20,20:20,ak,ak,vip01,yes,offroad
490,249032904,20191010,20191020,20:20,20:20,ak,ak,vip01,yes,offroad
2390,9403290432,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
40932,4932040932,20191010,20191020,20:20,20:20,ak,ak,vip01,yes,offroad
39,4324832904,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
40,430400430,20191010,20191020,20:20,20:20,ak,ak,abc,yes,smallcar
2033,432904903290,20191010,20191020,20:20,20:20,ak,ak,Vip01,yes,offroad
